Month,Day,Title,Director,Cast,Studio (production house),imdb rating,genre,length
JAN,1,Ghost Stories,Karan JoharDibakar BanerjeeZoya AkhtarAnurag Kashyap,Sobhita DhulipalaMrunal ThakurAvinash TiwaryJanhvi KapoorSurekha SikriRaghuvir YadavGulshan DevaiahVijay VarmaPavail GulatiJyoti SubhashEva Ameet PardeshiKitu GidwaniSumit Tandon,"RSVP Movies, Flying Unicorn Entertainment, Netflix",4.3,"horror, thriller",2.24
JAN,3,Bhangra Paa Le,Sneha Taurani,Sunny KaushalRukshar DhillonShriya Pilgaonkar,RSVP Movies,6.1,"comedy, drama",2.21
JAN,3,Sab Kushal Mangal,Karan Vishwanath Kashyap,Akshaye KhannaRiva KishanPriyank Sharma,One Up Entertainment,4.4,romance,2.12
JAN,3,Shimla Mirchi,Ramesh Sippy,Hema MaliniRajkummar RaoRakul Preet Singh,Viacom18 Motion Pictures,4.6,"comedy, romance",2.09
JAN,10,Chhapaak,Meghna Gulzar,Deepika PadukoneVikrant Massey,"Fox Star Studios, Ka Productions, Mriga Films",5.1,"biography, drama",2
JAN,10,Tanhaji,Om Raut,Ajay DevgnSaif Ali KhanKajolSharad Kelkar,"Ajay Devgn FFilms, T-Series",7.6,"action, biography, drama",2.15
JAN,17,Bunker,Jugal Raja,Abhijeet SinghArindita Kalita,Wagging Tail Entertainment,6.8,"drama, war",1.38
JAN,17,Jai Mummy Di,Navjot Gulati,Sunny SinghSonnalli SeygallPoonam DhillonSupriya Pathak,"Luv Films, T-Series",3.6,"comedy, drama, romance",1.43
JAN,24,Panga,Ashwiny Iyer Tiwari,Kangana RanautJassi GillRicha ChadhaNeena Gupta,Fox Star Studios,6.8,"sport, drama",2.11
JAN,24,Street Dancer 3D,Remo D'Souza,Varun DhawanShraddha KapoorPrabhu DevaNora FatehiAparshakti KhuranaMurali SharmaRaghav JuyalDharmesh YelandePunit PathakJigar RupareliyaSonam Bajwa,"T-Series, Remo D'Souza Entertainment",3.6,"drama, music",2.26
JAN,31,Gul Makai,H.E. Amjad khan,Reem ShaikhAtul KulkarniDivya DuttaOm PuriArif ZakariaMukesh RishiAbhimanyu SinghPankaj Tripathi,Pen India Limited,1.9,"war, biograpy",2.12
JAN,31,Happy Hardy and Heer,Raka,Himesh ReshammiyaSonia Mann,"HR Musik Limited, EYKA Films",5.3,"comedy, romance",2.03
JAN,31,Jawaani Jaaneman,Nitin Kakkar,Saif Ali KhanTabuAlaya Furniturewala,Pooja Entertainment,6.6,"comedy, drama",1.59
JAN,31,Pagleaazam,"Vikas P Kavvthekaar, Aps Raghuvanshi",Aditya Pratap SinghMandeep Kaur MannnatSonia SharmaLiliputFaruqueRavi MannAbhinaye SharmaSahil PatelAmber Upadhyay,Aps Entertainment,6.3,comedy,2.03
FEB,4,Operation Parindey,Sanjay Gadhvi,Amit SadhRahul DevAakash DahiyaRucha Inamdar,"Final Coast, Fluence Studios, Roll Kamera Motion Pictures, ZEE5",4.7,"action, drama, thriller",1
FEB,7,Hacked,Vikram Bhatt,Hina KhanRohan ShahMohit MalhotraSid Makkar,Zee Studios,4.2,thriller,1.58
FEB,7,Kaanchli Life in a Slough,Dedipya Joshii,Sanjay MishraShikha Malhotra,Pisceann Pictures,7.4,drama,1.41
FEB,7,Malang,Mohit Suri,Aditya Roy KapurDisha PataniAnil KapoorElli AvrRamAmruta Khanvilkar,"T-Series, Luv Films",6.5,"action, crime, drama",2.15
FEB,7,Shikara,Vidhu Vinod Chopra,Aadil KhanSadia Khateeb,"Vinod Chopra Films, Fox Star Studios",3.7,"drama, romance",1.58
FEB,14,Love Aaj Kal,Imtiaz Ali,Kartik AaryanSara Ali KhanRandeep Hooda,"Jio Studios, Maddock Films, Reliance Entertainment, Window Seat Films",4.8,"drama, romace",2.22
FEB,14,Shukranu,Bishnu Dev Halder,DivyennduShweta Basu PrasadSheetal Thakur,"Reliance Entertainment, ZEE5",6.4,drama,1.3
FEB,21,Bhoot Part One: The Haunted Ship,Bhanu Pratap Singh,Vicky KaushalBhumi Pednekar,Dharma Productions,5.4,"horror, mystery, thriller",1.54
FEB,21,The Hundred Bucks,Dushyant Pratap Singh,Kavita TripathiDinesh BawraJaid Shaikh,Dushyant Corporation,5,drama,1.42
FEB,21,Shubh Mangal Zyada Saavdhan,Hitesh Kewalya,Ayushmann KhurranaJitendra KumarGajraj RaoNeena GuptaManurishi ChaddhaSunita RajwarMaanvi GagrooPankhuri AwasthyNeeraj Singh,"Colour Yellow Productions, T-Series",5.8,"comedy, romance",1.57
FEB,21,Yeh Ballet,Sooni Taraporevala,Julian SandsAchintya BoseManish Chauhan,"Roy Kapur Films, Netflix",7.6,drama,1.57
FEB,28,Doordarshan,Gagan Puri,Mahie GillManu Rishi ChaddhaDolly AhluwaliaSupriya ShuklaRajesh SharmaMehak ManwaniSumit Gulati,"Arya Films, UFO Moviez",6.1,"comedy, drama",1.59
FEB,28,Guns of Banaras,Sekhar Suri,Karan NathNathalia KaurAbhimanyu SinghGanesh VenkatramanShilpa ShirodkarZarina WahabMohan AgasheTej Sapru,"AJ Media Corp, Dashaka Cinema Co Production",7,action,2.14
FEB,28,Haunted Hills,Sanjeev Kumar Rajput,Zuber K. KhanDiana Khan,"RSBS Films, UFO Moviez",6.7,horror,1.42
FEB,28,O Pushpa I Hate Tears,Dinkar Kapoor,Krushna AbhishekKarthik JayaramArjumman Mughal,"Films@50, Wavelength Studios",-1,comedy. Thriller,2.07
FEB,28,Thappad,Anubhav Sinha,Taapsee PannuPavail GulatiMaya SaraoNaila Grewal,"Benaras Media Works, T-Series",6.8,drama,2.22
MAR,2,Dheet Patangey,Ravi Adhikari,Shivin NarangChandan Roy SanyalAli MuradHardik SanghaniTillotama ShomePriya Banerjee,"Happi Digital, Hotstar",7.2,"drama, romance, sport",1.53
MAR,6,Baaghi 3,Ahmed Khan,Tiger ShroffRiteish DeshmukhShraddha KapoorAnkita Lokhande,"Nadiadwala Grandson Entertainment, Fox Star Studios",2.1,"action, thriller",2.23
MAR,6,Guilty,Ruchi Narain,Kiara AdvaniAkansha Ranjan KapoorGurfateh Singh PirzadaTaher ShabbirDalip TahilKunal VijaykarManu RishiJanya JoshiChayan Chopra,"Dharmatic, Netflix",5.4,"drama, thriller",1.59
MAR,6,Kaamyaab,Hardik Mehta,Sanjay MishraDeepak Dobriyal,"Red Chillies Entertainment, Drishyam Films",7.9,drama,1.49
MAR,13,Angrezi Medium,Homi Adajania,Irrfan KhanKareena KapoorRadhika MadanDeepak DobriyalPankaj Tripathi,Maddock Films,7.3,"comedy, drama",2.25
